Date,Time,0
2019-05-20 00:00:00,06:50:00,2
2018-10-16 00:00:00,06:10:00,2
2019-05-24 00:00:00,05:20:00,2
2018-10-13 00:00:00,07:30:00,2
2021-09-24 00:00:00,06:15:00,2
2017-09-29 00:00:00,06:10:00,2
2018-09-29 00:00:00,07:20:00,2
2019-05-25 00:00:00,07:00:00,2
2017-09-27 00:00:00,13:30:00,2
2017-09-28 00:00:00,06:20:00,2
2018-09-29 00:00:00,06:45:00,2
2019-05-16 00:00:00,8:45am,2
2018-09-29 00:00:00,06:15:00,2
2019-05-26 00:00:00,05:40:00,2
2021-10-01 00:00:00,07:00:00,2
2019-05-24 00:00:00,06:00:00,2
2019-05-26 00:00:00,05:45:00,2
2021-10-01 00:00:00,06:45:00,2
2018-10-13 00:00:00,06:40:00,2
2018-10-12 00:00:00,07:00:00,2
2019-05-19 00:00:00,07:40:00,2
2017-09-29 00:00:00,06:40:00,2
2017-09-29 00:00:00,06:45:00,2
2019-05-19 00:00:00,08:00:00,2
2020-05-20 00:00:00,05:45:00,2
2021-09-25 00:00:00,08:06:00,2
2017-09-29 00:00:00,07:50:00,2
2021-09-25 00:00:00,08:00:00,2
2021-09-25 00:00:00,07:30:00,2
2021-09-24 00:00:00,08:00:00,2
2017-10-05 00:00:00,06:30:00,2
2019-05-19 00:00:00,09:10:00,2
2017-10-20 00:00:00,06:50:00,2
2017-09-27 00:00:00,07:00:00,2
2019-05-14 00:00:00,06:00:00,2
2020-05-13 00:00:00,06:15:00,2
2021-11-12 00:00:00,07:00:00,2
2019-05-10 00:00:00,06:30:00,2
2019-05-15 00:00:00,06:00:00,2
2018-09-18 00:00:00,07:00:00,2
2020-09-04 00:00:00,07:00:00,2
2018-10-17 00:00:00,07:00:00,2
2020-09-04 00:00:00,08:25:00,2
2019-05-10 00:00:00,06:45:00,2
2018-10-17 00:00:00,07:10:00,2
2018-10-17 00:00:00,08:45:00,2
2018-10-17 00:00:00,07:30:00,2
2020-09-05 00:00:00,06:30:00,2
2020-09-05 00:00:00,06:40:00,2
2021-06-04 00:00:00,07:45:00,2
2019-05-23 00:00:00,05:30:00,2
2018-10-17 00:00:00,07:35:00,2
2021-06-04 00:00:00,06:30:00,2
2021-06-04 00:00:00,06:15:00,2
2017-10-29 00:00:00,09:00:00,2
2017-08-27 00:00:00,06:20:00,2
2021-06-01 00:00:00,07:50:00,2
2019-10-28 00:00:00,07:50:00,2
2018-10-09 00:00:00,11:15:00,2
2021-05-25 00:00:00,06:05:00,2
2017-10-25 00:00:00,06:45:00,2
2017-10-20 00:00:00,07:45:00,2
2019-05-16 00:00:00,05:20:00,2
2021-08-30 00:00:00,08:30:00,2
2018-04-02 00:00:00,07:25:00,2
2021-10-18 00:00:00,10:30:00,2
2017-08-23 00:00:00,07:25:00,2
2018-10-06 00:00:00,06:55:00,2
2019-05-09 00:00:00,08:10:00,2
2019-05-09 00:00:00,08:15:00,2
2017-10-25 00:00:00,06:30:00,2
2019-05-11 00:00:00,07:00:00,2
2020-09-04 00:00:00,06:30:00,2
2017-08-23 00:00:00,07:30:00,2
2020-05-01 00:00:00,08:20:00,2
2017-09-03 00:00:00,06:15:00,2
